,vectorized
0,"  (0, 30)	0.582395312959625
  (0, 117)	0.18377100996312565
  (0, 167)	0.14026222389740667
  (0, 17)	0.12690602212820634
  (0, 81)	0.23145870786153605
  (0, 75)	0.13529773346718932"
1560,"  (0, 163)	0.39948011714239545
  (0, 46)	0.4402481519174202
  (0, 173)	0.4566490905466536
  (0, 4)	0.33484755534731986
  (0, 117)	0.25216805413109056
  (0, 66)	0.27193045726991927
  (0, 167)	0.19246589587446597
  (0, 58)	0.3419073099480629
  (0, 75)	0.18565369033784992"
1561,"  (0, 191)	0.3520104952560974
  (0, 162)	0.4119215342565298
  (0, 82)	0.4119215342565298
  (0, 168)	0.3417997299768319
  (0, 118)	0.42102513477935627
  (0, 146)	0.37722398695657233
  (0, 105)	0.22434535470385195
  (0, 79)	0.2236334420882318"
1562,"  (0, 56)	0.30379809820745907
  (0, 4)	0.3077236026929895
  (0, 26)	0.7612563876339686
  (0, 128)	0.3594416431007317
  (0, 10)	0.20230644574086654
  (0, 156)	0.18511059999789603
  (0, 75)	0.1706150202731922"
1563,"  (0, 161)	0.38458423883016835
  (0, 188)	0.3802528051516258
  (0, 1)	0.299012209111678
  (0, 94)	0.27373142939111583
  (0, 195)	0.36864135185862534
  (0, 56)	0.25329586065065063
  (0, 0)	0.1684586299182427
  (0, 89)	0.26401382802299345
  (0, 167)	0.14747231679724676
  (0, 17)	0.13342954773380916
  (0, 156)	0.15433851962432787
  (0, 177)	0.31735401409569636
  (0, 75)	0.28450525961169665"
1564,"  (0, 94)	0.3157126510318578
  (0, 0)	0.1942945344602405
  (0, 52)	0.2459696498746405
  (0, 128)	0.3456517439561006
  (0, 199)	0.21704763745144226
  (0, 201)	0.4461827936649975
  (0, 88)	0.32373050100809186
  (0, 117)	0.2228507522855128
  (0, 77)	0.23043989828762065
  (0, 66)	0.24031555932315637
  (0, 167)	0.3401792493717921
  (0, 17)	0.15389316577466394
  (0, 156)	0.1780088727674266"
1565,"  (0, 115)	0.30333614053217317
  (0, 165)	0.3016020721970867
  (0, 184)	0.4549200696078313
  (0, 125)	0.22746003480391566
  (0, 93)	0.2781866241734223
  (0, 0)	0.26573939064259416
  (0, 144)	0.30333614053217317
  (0, 49)	0.19393084324534324
  (0, 155)	0.17646960196559303
  (0, 117)	0.45719420220269563
  (0, 66)	0.1643414995534474
  (0, 167)	0.11631699611166102"
1566,"  (0, 148)	0.3291267328024706
  (0, 3)	0.3242869822746383
  (0, 84)	0.33852980443717057
  (0, 25)	0.24044861219491173
  (0, 99)	0.21622414847487822
  (0, 141)	0.21669943245726667
  (0, 96)	0.2622287280527627
  (0, 164)	0.22320228308370513
  (0, 197)	0.28539191986772294
  (0, 79)	0.3660294522042163
  (0, 91)	0.3371039056751435
  (0, 75)	0.2696956448557819"
1567,"  (0, 187)	0.42040439551964154
  (0, 134)	0.357297819223706
  (0, 93)	0.5702946447768464
  (0, 199)	0.6085740963470261"
1568,"  (0, 13)	0.30305461400086575
  (0, 3)	0.32211771712157916
  (0, 84)	0.3362652642361225
  (0, 4)	0.2415864550443788
  (0, 197)	0.5669656738479889
  (0, 10)	0.47647788435577193
  (0, 156)	0.2906518268554544"
1569,"  (0, 125)	0.32866570580326976
  (0, 168)	0.33629416619996316
  (0, 36)	0.4070007792434594
  (0, 93)	0.40196249533596234
  (0, 105)	0.22073169573914175
  (0, 10)	0.384472004397299
  (0, 77)	0.2277048700985155
  (0, 66)	0.23746331961157205
  (0, 17)	0.15206664983869964
  (0, 156)	0.35179226818872045"
1570,"  (0, 94)	0.6884491518424481
  (0, 41)	0.6309011634818719
  (0, 75)	0.35777295488149213"
1571,"  (0, 54)	0.4136106816400496
  (0, 84)	0.48020220696025856
  (0, 134)	0.2971293251744012
  (0, 112)	0.5141768523957287
  (0, 99)	0.30671247238737503
  (0, 116)	0.3893530946680664"
1572,"  (0, 2)	0.41875640711952267
  (0, 14)	0.3012916198590724
  (0, 114)	0.2812637510119836
  (0, 0)	0.19042539418796794
  (0, 150)	0.2374813898431928
  (0, 186)	0.32934146695535915
  (0, 79)	0.21823982335123968
  (0, 116)	0.32731382912322304
  (0, 57)	0.4208542739400392
  (0, 156)	0.348928083436435"
1573,"  (0, 11)	0.36699442371855295
  (0, 138)	0.3422518910253604
  (0, 182)	0.31560301800049
  (0, 93)	0.336567016530318
  (0, 63)	0.2559980412060773
  (0, 99)	0.21766497196593632
  (0, 26)	0.3028391227682403
  (0, 96)	0.26397610601250343
  (0, 110)	0.3071285243042977
  (0, 30)	0.23775729828948958
  (0, 172)	0.23281910456687838
  (0, 130)	0.23648881523762819"
1574,"  (0, 161)	0.46811199617161586
  (0, 121)	0.41200803658628693
  (0, 0)	0.205046118798923
  (0, 99)	0.277637963790299
  (0, 169)	0.47087299892416745
  (0, 155)	0.27233002139078294
  (0, 117)	0.23518253848213813
  (0, 17)	0.3248181575404161
  (0, 156)	0.18785926518278528"
1575,"  (0, 145)	0.6636743353171165
  (0, 56)	0.43962407747977444
  (0, 199)	0.3266187561282109
  (0, 10)	0.29275622560449854
  (0, 77)	0.34677176782379193
  (0, 17)	0.23158231516433075"
1576,"  (0, 132)	0.3369997580456069
  (0, 1)	0.3148803425460685
  (0, 106)	0.37141564810699096
  (0, 3)	0.36024877203515737
  (0, 114)	0.2620226248453081
  (0, 141)	0.2407303059033436
  (0, 52)	0.22457987243309188
  (0, 137)	0.3207844172972684
  (0, 181)	0.311412523759047
  (0, 167)	0.3105969068429308
  (0, 17)	0.14051045547941793
  (0, 156)	0.1625290354254751"
1577,"  (0, 37)	0.5020657275121383
  (0, 44)	0.5571152722881773
  (0, 109)	0.48185523519697293
  (0, 0)	0.24543510576213673
  (0, 10)	0.24575150139530014
  (0, 77)	0.291094347893826"
1578,"  (0, 111)	0.31671922677657466
  (0, 16)	0.30920603598878205
  (0, 14)	0.45348166709896653
  (0, 114)	0.21166860658634123
  (0, 95)	0.2029520816186167
  (0, 4)	0.21826200262499953
  (0, 193)	0.2039444215472325
  (0, 99)	0.19404160008650503
  (0, 141)	0.19446812443676215
  (0, 21)	0.307808745244463
  (0, 197)	0.2561134136658497
  (0, 105)	0.1647619870885595
  (0, 10)	0.14349178810115787
  (0, 66)	0.17725106613635458
  (0, 58)	0.22286372705927518
  (0, 75)	0.24202742771008248"
1579,"  (0, 189)	0.4100268278280357
  (0, 48)	0.47899483692476474
  (0, 134)	0.27987552349848166
  (0, 0)	0.2133651776759614
  (0, 26)	0.4019520735540252
  (0, 122)	0.3682522576917366
  (0, 17)	0.1689982826837913
  (0, 156)	0.3909620501825471"
1580,"  (0, 33)	0.20332713873411978
  (0, 78)	0.2130586384669388
  (0, 135)	0.20988728158834552
  (0, 69)	0.18770827480694222
  (0, 145)	0.21771267746295797
  (0, 178)	0.2130586384669388
  (0, 28)	0.13962656160623527
  (0, 9)	0.17385300308144064
  (0, 134)	0.12581044952738163
  (0, 25)	0.2888355925497548
  (0, 95)	0.13583175038333453
  (0, 0)	0.09591252776003464
  (0, 42)	0.1553147244911827
  (0, 164)	0.13405933830194164
  (0, 49)	0.2799795294377338
  (0, 150)	0.23922692131432158
  (0, 181)	0.3367375244843124
  (0, 117)	0.1100091622459033
  (0, 79)	0.10992196290195952
  (0, 10)	0.09603617064663274
  (0, 89)	0.15031722400673622
  (0, 167)	0.1679277895767906
  (0, 17)	0.07596859363773067
  (0, 81)	0.13855601354901417
  (0, 75)	0.3239681887906377
  (0, 30)	0.14185607726915345
  (0, 172)	0.13890974167683084
  (0, 130)	0.14109924653834505"
1581,"  (0, 7)	0.6676683143985881
  (0, 9)	0.5780392398278916
  (0, 130)	0.46913714323994976"
1582,"  (0, 0)	0.29358680602840365
  (0, 110)	0.560912914641574
  (0, 124)	0.6334567198456831
  (0, 66)	0.3631264137028649
  (0, 167)	0.25701222007519114"
1583,"  (0, 69)	0.3060205668881215
  (0, 28)	0.2276330096759222
  (0, 45)	0.31205363988725726
  (0, 114)	0.2309571624282792
  (0, 159)	0.29376935720514635
  (0, 134)	0.20510861934252253
  (0, 95)	0.2214463336603876
  (0, 63)	0.2490106537615441
  (0, 0)	0.31273214936300686
  (0, 76)	0.2645249575494558
  (0, 150)	0.19500567609713387
  (0, 117)	0.1793478003460591
  (0, 79)	0.17920563936411307
  (0, 66)	0.19340328229326262
  (0, 75)	0.3961237013501215"
1584,"  (0, 104)	0.2945499921331434
  (0, 123)	0.3424710936862111
  (0, 193)	0.4388078485044082
  (0, 99)	0.20875044389138256
  (0, 141)	0.20920929986560127
  (0, 41)	0.2295730850158653
  (0, 128)	0.5485399648099178
  (0, 155)	0.20475950793679615
  (0, 186)	0.2666377663656077
  (0, 79)	0.17668889243845776
  (0, 167)	0.13496381599565027"
1585,"  (0, 54)	0.2488609123840318
  (0, 187)	0.21035233742166484
  (0, 38)	0.2788001329258744
  (0, 65)	0.30596825726508586
  (0, 56)	0.40985846239516743
  (0, 0)	0.13629159761657983
  (0, 76)	0.2305649044865226
  (0, 164)	0.19049817390180915
  (0, 49)	0.19892530338934108
  (0, 199)	0.30450438916710487
  (0, 79)	0.1561989897142616
  (0, 91)	0.28771067015564394
  (0, 10)	0.13646729402394114
  (0, 156)	0.12486771039029788
  (0, 75)	0.23017922193488552
  (0, 30)	0.20157733149318607
  (0, 172)	0.19739059182142069
  (0, 130)	0.20050187584796245"
1586,"  (0, 147)	0.6426544539875696
  (0, 99)	0.3789244115367295
  (0, 76)	0.47342305841850435
  (0, 81)	0.40427355184788266
  (0, 75)	0.23631556475494525"
1587,"  (0, 35)	0.3943132191430427
  (0, 63)	0.387774670559753
  (0, 0)	0.48700569377570824
  (0, 52)	0.308265542100157
  (0, 117)	0.27929140036477357
  (0, 23)	0.5328620961818801"
1588,"  (0, 20)	0.2638536088389019
  (0, 192)	0.2705704366031454
  (0, 107)	0.5102641967995741
  (0, 106)	0.26491630855775467
  (0, 46)	0.2533724462599952
  (0, 0)	0.12653142223606056
  (0, 99)	0.17132695137507245
  (0, 141)	0.3434070929586796
  (0, 150)	0.15779858636813143
  (0, 137)	0.22880302460698382
  (0, 105)	0.1454748308496613
  (0, 66)	0.31300385871467523
  (0, 75)	0.3205432854622418"
1589,"  (0, 16)	0.48542395197997334
  (0, 13)	0.4298329391915659
  (0, 168)	0.39408045269789627
  (0, 46)	0.45050724862669744
  (0, 49)	0.32836868592318436
  (0, 66)	0.27826724902515954
  (0, 75)	0.18997997576418257"
1590,"  (0, 59)	0.510080886149507
  (0, 109)	0.4411746681356718
  (0, 190)	0.43057420293754806
  (0, 83)	0.39797046570692307
  (0, 164)	0.3140887654064399
  (0, 105)	0.25835694423291783
  (0, 75)	0.18975695713757318"
1591,"  (0, 92)	0.2386729443755157
  (0, 55)	0.8118569473146547
  (0, 29)	0.2670944502547768
  (0, 0)	0.12599254597346887
  (0, 190)	0.2414138545781211
  (0, 52)	0.15950187433733706
  (0, 137)	0.22782859061587715
  (0, 181)	0.221172452782859
  (0, 167)	0.11029659129311825"
1592,"  (0, 191)	0.28104820536323555
  (0, 31)	0.295128501839046
  (0, 14)	0.24649891015222924
  (0, 198)	0.3516672916257983
  (0, 183)	0.32888169390813904
  (0, 95)	0.2206372189295028
  (0, 0)	0.15579474847192407
  (0, 26)	0.29349691865943567
  (0, 158)	0.3235928110484319
  (0, 17)	0.12339897836044464
  (0, 156)	0.14273611779978856
  (0, 177)	0.29349691865943567
  (0, 75)	0.39467635509372995"
1593,"  (0, 73)	0.4113385823203277
  (0, 60)	0.37952032163419125
  (0, 198)	0.45722081346678944
  (0, 47)	0.4454340694025822
  (0, 0)	0.20255680106293214
  (0, 110)	0.38699533947615705
  (0, 66)	0.2505348443144652
  (0, 17)	0.16043738673020858"
1594,"  (0, 33)	0.4506637770467057
  (0, 139)	0.47223312806017803
  (0, 65)	0.47724339927695275
  (0, 164)	0.2971353854860346
  (0, 167)	0.18610150222185118
  (0, 81)	0.3071020267500327
  (0, 75)	0.35902912054028974"
1595,"  (0, 104)	0.5165022612176072
  (0, 141)	0.7337095863814602
  (0, 164)	0.37786359877300935
  (0, 75)	0.2282865693188176"
1596,"  (0, 115)	0.27862877377961903
  (0, 145)	0.277035948958259
  (0, 162)	0.25764079599836637
  (0, 178)	0.2711137577254113
  (0, 9)	0.22122520493141543
  (0, 25)	0.18376936843412975
  (0, 68)	0.277035948958259
  (0, 96)	0.2004154122564785
  (0, 21)	0.26214474173982677
  (0, 155)	0.16209578165921015
  (0, 181)	0.21424659494447376
  (0, 105)	0.1403192379071889
  (0, 117)	0.27996984844469813
  (0, 10)	0.12220451275251941
  (0, 66)	0.15095553870154202
  (0, 167)	0.32052819627224755
  (0, 81)	0.1763103423499783
  (0, 75)	0.30918330868389515"
1597,"  (0, 35)	0.3349304910484094
  (0, 0)	0.41366367709954377
  (0, 186)	0.7154329537983433
  (0, 23)	0.4526142033055674"
1598,"  (0, 131)	0.262669903811518
  (0, 37)	0.2836454819654149
  (0, 53)	0.3096290773479162
  (0, 103)	0.30644945611409746
  (0, 54)	0.2531859389546602
  (0, 187)	0.21400811220697366
  (0, 193)	0.19733142726046896
  (0, 83)	0.24556821396019318
  (0, 197)	0.24780881514588715
  (0, 200)	0.42547304782419576
  (0, 199)	0.309796459992548
  (0, 117)	0.15903968127774093
  (0, 10)	0.13883899903386449
  (0, 119)	0.19806197910753912
  (0, 66)	0.1715036165185135"
1599,"  (0, 109)	0.48099753014128044
  (0, 113)	0.4202614533017992
  (0, 199)	0.2736890521543109
  (0, 117)	0.28100656556808723
  (0, 79)	0.28078382422853715
  (0, 91)	0.5171896590716617
  (0, 66)	0.3030290420175716"
1600,"  (0, 180)	0.561914208360421
  (0, 99)	0.3332722038954762
  (0, 96)	0.40418032277743215
  (0, 137)	0.44507701594353494
  (0, 105)	0.28298360006680373
  (0, 77)	0.2919233854361017
  (0, 167)	0.2154711030287332"
1601,"  (0, 0)	0.5320648568342694
  (0, 10)	0.5327507529970833
  (0, 66)	0.6580908928886413"
1602,"  (0, 72)	0.6460250539062737
  (0, 94)	0.46505208911666823
  (0, 140)	0.5549503546882962
  (0, 75)	0.2416780667850372"
1603,"  (0, 61)	0.5045197675695643
  (0, 83)	0.4507189079350084
  (0, 26)	0.47944228408580897
  (0, 74)	0.44482991218880535
  (0, 10)	0.25482679950377013
  (0, 167)	0.22279366658137642"
1604,"  (0, 10)	1.0"
1605,"  (0, 2)	0.4949978374613341
  (0, 154)	0.46938731510563975
  (0, 52)	0.284962451855642
  (0, 164)	0.31462152693052536
  (0, 200)	0.3453478704756117
  (0, 10)	0.22538561678822244
  (0, 156)	0.20622806456698034
  (0, 81)	0.32517469577549024
  (0, 75)	0.19007882540165963"
1606,"  (0, 28)	0.40478974018183445
  (0, 183)	0.5869805030259008
  (0, 0)	0.27805889327603145
  (0, 150)	0.3467699920750608
  (0, 199)	0.310621325636288
  (0, 10)	0.27841734492996906
  (0, 156)	0.25475214880608676
  (0, 75)	0.23480310167912474"
1607,"  (0, 64)	0.39790519927649604
  (0, 15)	0.34901363275020636
  (0, 151)	0.34666672141394095
  (0, 38)	0.3565375619754226
  (0, 56)	0.2620693458855353
  (0, 99)	0.4719964034769084
  (0, 141)	0.23651695122110877
  (0, 79)	0.19975172318355264
  (0, 119)	0.2489605498445394
  (0, 167)	0.1525803599790474"
1608,"  (0, 85)	0.698796547222819
  (0, 148)	0.3337540942303575
  (0, 187)	0.249930122045116
  (0, 193)	0.23045419722616864
  (0, 200)	0.24844509320928343
  (0, 199)	0.3617968788968149
  (0, 10)	0.16214361042349662
  (0, 17)	0.25652464000341774"
1609,"  (0, 176)	0.6636242911644618
  (0, 52)	0.3658398236409502
  (0, 117)	0.3314542259824983
  (0, 79)	0.33119149703826306
  (0, 10)	0.28935403159283823
  (0, 17)	0.2288910386108377
  (0, 156)	0.26475922803057117"
1610,"  (0, 163)	0.491705249319766
  (0, 56)	0.4068937802132432
  (0, 21)	0.5812455321485448
  (0, 17)	0.2143408618288983
  (0, 75)	0.45702847364574967"
1611,"  (0, 52)	0.36952882023443534
  (0, 117)	0.33479649063366906
  (0, 66)	0.36103448196118315
  (0, 156)	0.26742896442115366
  (0, 30)	0.43171783036225947
  (0, 172)	0.42275109707931957
  (0, 130)	0.42941452882350245"
1612,"  (0, 102)	0.3869319972230082
  (0, 98)	0.4025886456391636
  (0, 71)	0.36960725915187026
  (0, 8)	0.354344693332826
  (0, 134)	0.2352315709208852
  (0, 4)	0.2731271151403023
  (0, 63)	0.28558120788939956
  (0, 193)	0.2552104848128667
  (0, 0)	0.17933052986251033
  (0, 119)	0.25615531399522296
  (0, 167)	0.15698981241944865
  (0, 156)	0.16429914285696623"
1613,"  (0, 141)	0.6452815078378176
  (0, 164)	0.6646455145169758
  (0, 17)	0.37664056562592524"
1614,"  (0, 178)	0.561236676610268
  (0, 95)	0.3578064738976903
  (0, 137)	0.4568625983177879
  (0, 199)	0.2822387972637453
  (0, 105)	0.2904769695504642
  (0, 77)	0.29965347929128394
  (0, 167)	0.22117675023820055
  (0, 75)	0.2133483426354004"
1615,"  (0, 179)	1.0"
1616,"  (0, 85)	0.4385902509766951
  (0, 143)	0.4205640204888751
  (0, 125)	0.34798275542905605
  (0, 168)	0.3560595721508827
  (0, 134)	0.26663670740151046
  (0, 63)	0.32370838943632224
  (0, 0)	0.20327246819768874
  (0, 96)	0.33379661705376656
  (0, 79)	0.23296340144552583"
1617,"  (0, 157)	0.6770423900830825
  (0, 125)	0.28009894447166217
  (0, 168)	0.28660015122164995
  (0, 8)	0.32329873966097766
  (0, 193)	0.23285018695275986
  (0, 52)	0.20713488571457075
  (0, 117)	0.1876661007957345
  (0, 10)	0.16382938759520002
  (0, 66)	0.20237348770957955
  (0, 75)	0.27633083250054225"
1618,"  (0, 33)	0.26001232267847324
  (0, 127)	0.28000909385929523
  (0, 191)	0.44251899383783017
  (0, 73)	0.24907293352148757
  (0, 90)	0.25576350064386244
  (0, 98)	0.5506950904381658
  (0, 195)	0.26840135520629677
  (0, 88)	0.20436049874946913
  (0, 156)	0.3371135735493098"
1619,"  (0, 33)	0.42128420676717016
  (0, 54)	0.3628630718466847
  (0, 32)	0.4510903620597102
  (0, 4)	0.30266747387740034
  (0, 41)	0.29592116377826805
  (0, 199)	0.22199829813664185
  (0, 186)	0.3436977733025442
  (0, 105)	0.2284781309772666
  (0, 66)	0.24579694030270777
  (0, 75)	0.16781168795540358"
1620,"  (0, 191)	0.32506661181979263
  (0, 13)	0.34427324082375643
  (0, 84)	0.382000890092688
  (0, 164)	0.2518640004251677
  (0, 41)	0.2683275236639411
  (0, 197)	0.3220394954470392
  (0, 110)	0.34427324082375643
  (0, 146)	0.3483501912291423
  (0, 10)	0.18042796891997387
  (0, 120)	0.30847752280269913
  (0, 75)	0.1521638199040033"
1621,"  (0, 11)	0.43464703663055776
  (0, 35)	0.3083016145572472
  (0, 114)	0.28120782829153296
  (0, 99)	0.2577898434659101
  (0, 197)	0.34025403206841
  (0, 88)	0.31722071580444466
  (0, 105)	0.2188910359518622
  (0, 117)	0.4367390464440812
  (0, 167)	0.1666693509748117
  (0, 58)	0.29608086764501723"
1622,"  (0, 126)	0.4925869745010974
  (0, 29)	0.5232584100333657
  (0, 155)	0.3278235673365864
  (0, 10)	0.2471472046039146
  (0, 89)	0.3868384325087403
  (0, 17)	0.19550368812955352
  (0, 81)	0.35657118770074203"
1623,"  (0, 170)	0.4686096830996843
  (0, 134)	0.30801078028072115
  (0, 25)	0.3535655288105939
  (0, 4)	0.3576309741113823
  (0, 0)	0.23481429901126774
  (0, 52)	0.2972661638363267
  (0, 155)	0.3118663422998481
  (0, 17)	0.18598729987125448
  (0, 75)	0.3965715685397768"
1624,"  (0, 102)	0.6253872064038252
  (0, 60)	0.5430712161814342
  (0, 146)	0.5603253485446089"
1625,"  (0, 92)	0.4847662976913134
  (0, 14)	0.4048892713337746
  (0, 10)	0.2562321246560073
  (0, 116)	0.43985909011726804
  (0, 66)	0.31651579421146064
  (0, 156)	0.23445265008789554
  (0, 75)	0.4321864188037269"
1626,"  (0, 103)	0.3998159563606926
  (0, 14)	0.2862301860681112
  (0, 198)	0.40834985539675683
  (0, 112)	0.41064035410412997
  (0, 110)	0.3456305711808681
  (0, 10)	0.1811393235373153
  (0, 156)	0.49722798609424806
  (0, 75)	0.1527637403959811"
1627,"  (0, 103)	0.2689623478183953
  (0, 90)	0.2537752459910274
  (0, 161)	0.2778323587805981
  (0, 194)	0.24453371325131604
  (0, 82)	0.5138087434354777
  (0, 94)	0.19774978020797837
  (0, 65)	0.273207048093612
  (0, 193)	0.17319242346630176
  (0, 99)	0.16478281051917693
  (0, 52)	0.15406555309573375
  (0, 155)	0.16163245725075004
  (0, 105)	0.13991815820459916
  (0, 79)	0.13947415747139172
  (0, 10)	0.2437104220867061
  (0, 167)	0.10653733953125442
  (0, 17)	0.09639252531688672
  (0, 156)	0.33449291958791216
  (0, 75)	0.10276651950667967"
1628,"  (0, 141)	0.5666036939350501
  (0, 164)	0.5836066881019798
  (0, 79)	0.4785283407441088
  (0, 17)	0.3307175754726144"
1629,"  (0, 134)	0.3130881966099129
  (0, 83)	0.42271289198482664
  (0, 26)	0.4496515031380639
  (0, 141)	0.32389645423001584
  (0, 105)	0.2744193865418277
  (0, 79)	0.27354857455863435
  (0, 10)	0.23899279900857587
  (0, 116)	0.41026532195219306
  (0, 75)	0.2015544344060328"
1630,"  (0, 53)	0.20646331351211195
  (0, 12)	0.2123270691343029
  (0, 108)	0.17009846756771974
  (0, 114)	0.136565824688395
  (0, 97)	0.20434311491425855
  (0, 176)	0.2123270691343029
  (0, 36)	0.19600770464786782
  (0, 134)	0.12128148552183604
  (0, 95)	0.13094203644774854
  (0, 113)	0.1586023953141845
  (0, 0)	0.09245983851571596
  (0, 144)	0.21108207181302854
  (0, 41)	0.1376809933465185
  (0, 49)	0.1349503692796307
  (0, 110)	0.1766493467833906
  (0, 79)	0.10596495761923425
  (0, 10)	0.0925790304669184
  (0, 89)	0.14490605745024226
  (0, 66)	0.22872015282941371
  (0, 167)	0.4047066808993249
  (0, 17)	0.07323385238666853
  (0, 75)	0.5465352906329337"
1631,"  (0, 26)	0.49480470956119227
  (0, 105)	0.6039521892317464
  (0, 174)	0.434423152618581
  (0, 66)	0.32486610330565047
  (0, 167)	0.22993248435538655
  (0, 17)	0.20803760368822766"
1632,"  (0, 92)	0.7197480523056996
  (0, 109)	0.37296842240783046
  (0, 52)	0.48099780934023495
  (0, 10)	0.19021802210428002
  (0, 81)	0.2744367114024595"
1633,"  (0, 199)	0.38718125577940204
  (0, 17)	0.27452291063906326
  (0, 30)	0.5126163505075932
  (0, 172)	0.501969363591119
  (0, 130)	0.5098814390773069"
1634,"  (0, 53)	0.6045347359094208
  (0, 0)	0.27072695438478955
  (0, 181)	0.47524513512351657
  (0, 89)	0.4242920627505019
  (0, 77)	0.3210913369511928
  (0, 75)	0.22861174425587413"
1635,"  (0, 14)	0.26843674084022956
  (0, 185)	0.36606666408342897
  (0, 68)	0.3851129743770628
  (0, 146)	0.32798309438178974
  (0, 117)	0.3891914442001837
  (0, 156)	0.6217572035300263"
1636,"  (0, 14)	0.317627440791852
  (0, 8)	0.39666832998929075
